table_name,event_month,rows_total,rows_event_null,rows_etl_null,pct_event_null,pct_etl_null,rows_event_year_1970,rows_etl_year_1970,rows_delay_nonnull,rows_neg_delay,pct_neg_delay,pct_le_1m,pct_le_7m,pct_gt_1d,avg_delay_min,sd_delay_min,min_delay_min,max_delay_min
t_bet,2024-07,891690,0,0,0.0,0.0,0,0,891690,0,0.0,0.0,0.0,100.0,447693.033,9682.957,431068.083,473406.4
t_bet,2024-08,1615722,0,0,0.0,0.0,0,0,1615722,0,0.0,0.0,0.0,100.0,406435.046,13715.814,386428.25,431068.017
t_bet,2024-09,2379858,0,0,0.0,0.0,0,0,2379858,0,0.0,0.0,0.0,100.0,364341.685,12753.167,343228.917,386428.067
t_bet,2024-10,3462933,0,0,0.0,0.0,0,0,3462933,0,0.0,0.0,0.0,100.0,318038.579,13785.762,298588.85,343228.783
t_bet,2024-11,14343932,0,0,0.0,0.0,0,0,14343932,0,0.0,0.0,0.0,100.0,272448.51,12862.193,255569.267,335094.4
t_bet,2024-12,25959766,0,0,0.0,0.0,0,0,25959766,0,0.0,0.0,0.0,100.0,311941.795,12879.063,290053.4,334689.233
t_bet,2025-01,26061380,0,0,0.0,0.0,0,0,26061380,0,0.0,0.0,0.0,100.0,268574.245,14879.389,166134.4,290053.383
t_bet,2025-02,26730911,0,0,0.0,0.0,0,0,26730911,0,0.0,0.0,0.0,100.0,146242.643,11838.608,125814.417,166134.383
t_bet,2025-03,30000328,0,0,0.0,0.0,0,0,30000328,0,0.0,0.0,0.0,100.0,103940.281,12752.209,81192.233,125814.383
t_bet,2025-04,27893228,0,0,0.0,0.0,0,0,27893228,0,0.0,0.0,0.0,100.0,58940.315,12187.071,37992.25,81192.217
t_bet,2025-05,29191646,0,0,0.0,0.0,0,0,29191646,0,0.0,3.0577,12.4097,85.4727,18098.162,14040.44,0.117,80229.5
t_bet,2025-06,29112187,0,0,0.0,0.0,0,0,29112187,0,0.0,39.0223,96.6984,0.0,8.992,58.745,0.033,874.183
t_bet,2025-07,30044493,0,0,0.0,0.0,0,0,30044493,0,0.0,96.5813,97.4274,0.0009,11.333,79.618,0.033,8670.383
t_bet,2025-08,30652924,0,0,0.0,0.0,0,0,30652924,0,0.0,98.1955,99.3256,0.0003,0.82,79.977,0.033,65327.45
t_bet,2025-09,26302064,0,0,0.0,0.0,0,0,26302064,0,0.0,96.8864,97.9534,0.1437,69.664,1790.614,0.033,65061.867
t_bet,2025-10,34062130,0,0,0.0,0.0,0,0,34062130,0,0.0,91.899,93.5194,3.23,182.529,1039.782,0.017,21603.75
t_bet,2025-11,28463873,0,0,0.0,0.0,0,0,28463873,0,0.0,94.1574,96.5981,0.0007,15.124,99.58,0.033,53291.533
