table_name,event_month,rows_total,rows_event_null,rows_etl_null,rows_event_year_1970,rows_etl_year_1970,rows_delay_nonnull,rows_neg_delay,pct_neg_delay,pct_le_1m,pct_le_7m,pct_gt_1d,p50_min,p90_min,p95_min,p99_min,max_delay_min
t_bet,2024-07,881161,0.0,0.0,0.0,0.0,881161.0,0.0,0.0,0.0,0.0,100.0,447760.399,461321.242,463782.344,465576.797,473406.4
t_bet,2024-08,1597222,0.0,0.0,0.0,0.0,1597222.0,0.0,0.0,0.0,0.0,100.0,406752.441,426593.624,428658.921,430708.929,431547.767
t_bet,2024-09,2389330,0.0,0.0,0.0,0.0,2389330.0,0.0,0.0,0.0,0.0,100.0,365491.404,382641.227,384960.877,386536.127,386908.017
t_bet,2024-10,3433161,0.0,0.0,0.0,0.0,3433161.0,0.0,0.0,0.0,0.0,100.0,315428.777,338483.189,340870.708,342873.932,343708.067
t_bet,2024-11,14181217,0.0,0.0,0.0,0.0,14181217.0,0.0,0.0,0.0,0.0,100.0,269984.11,288691.653,293277.832,297817.286,299068.817
t_bet,2024-12,25906421,0.0,0.0,0.0,0.0,25906421.0,0.0,0.0,0.0,0.0,100.0,312384.436,329853.937,332272.685,334324.362,335094.4
t_bet,2025-01,26040370,0.0,0.0,0.0,0.0,26040370.0,0.0,0.0,0.0,0.0,100.0,270409.265,286388.187,288367.462,290064.402,290533.267
t_bet,2025-02,26721308,0.0,0.0,0.0,0.0,26721308.0,0.0,0.0,0.0,0.0,100.0,146433.988,162935.203,164760.88,166192.395,245897.533
t_bet,2025-03,30066638,0.0,0.0,0.0,0.0,30066638.0,0.0,0.0,0.0,0.0,100.0,104727.188,121849.216,124114.22,125802.66,126294.383
t_bet,2025-04,27812412,0.0,0.0,0.0,0.0,27812412.0,0.0,0.0,0.0,0.0,100.0,58961.069,76411.632,78946.011,81043.488,81654.383
t_bet,2025-05,29218594,0.0,0.0,0.0,0.0,29218594.0,0.0,0.0,2.8026,11.4293,86.4566,17711.933,35422.489,37098.028,78213.132,80229.5
t_bet,2025-06,29124518,0.0,0.0,0.0,0.0,29124518.0,0.0,0.0,38.3337,96.6995,0.0,1.306,2.342,2.562,307.779,874.183
t_bet,2025-07,30039466,0.0,0.0,0.0,0.0,30039466.0,0.0,0.0,97.0146,97.8601,0.0009,0.444,0.652,0.718,527.3,8670.383
t_bet,2025-08,30695129,0.0,0.0,0.0,0.0,30695129.0,0.0,0.0,97.7773,98.9034,0.0001,0.438,0.649,0.704,12.151,9429.9
t_bet,2025-09,26244691,0.0,0.0,0.0,0.0,26244691.0,0.0,0.0,97.4135,98.4859,0.1435,0.435,0.65,0.706,82.988,65327.45
t_bet,2025-10,33917398,0.0,0.0,0.0,0.0,33917398.0,0.0,0.0,91.4767,93.0783,3.2443,0.456,0.759,197.935,6662.154,22337.3
t_bet,2025-11,28634590,0.0,0.0,0.0,0.0,28634590.0,0.0,0.0,94.1641,96.6167,0.0007,0.45,0.688,1.899,664.156,53291.533
t_bet,2025-12,30031170,0.0,0.0,0.0,0.0,30031170.0,0.0,0.0,96.3982,97.5221,0.0007,0.435,0.652,0.723,496.492,8527.883
t_bet,2026-01,30160531,0.0,0.0,0.0,0.0,30160531.0,0.0,0.0,98.1516,99.6068,0.0,0.434,0.644,0.694,3.303,146.567
t_bet,2026-02,10910628,0.0,0.0,0.0,0.0,10910628.0,0.0,0.0,98.2491,99.6018,0.0,0.433,0.645,0.694,3.183,98.65
t_game,2024-07,571551,0.0,0.0,0.0,552567.0,571551.0,552567.0,96.6785,96.6785,96.6785,3.3215,-28690447.533,-28675709.269,-28673701.518,505561.279,546774.467
t_game,2024-08,930780,0.0,0.0,0.0,827747.0,930780.0,827747.0,88.9305,88.9305,88.9305,11.0695,-28730220.509,-195308.418,502137.722,504203.697,504914.067
t_game,2024-09,1423120,0.0,0.0,0.0,1273035.0,1423120.0,1273035.0,89.4538,89.4538,89.4538,10.5462,-28772402.181,-255086.846,458212.439,459850.209,460274.883
