canonical_id,total_theo_win,total_turnover,total_cash_buyins,total_player_win,unique_gaming_days,total_num_bets,session_count,first_gaming_day,last_gaming_day,adt
97126950,12398742.399999999,973850400.0,0.0,8063050.0,26,2827,372,2025-02-27,2025-05-26,476874.70769230765
99039538,23031281.299999993,1764607100.0,100000.0,-31634000.0,75,20034,1426,2025-02-07,2026-04-09,307083.7506666666
99449105,16510286.009999983,467996050.0,333000.0,-12691250.0,84,53055,1467,2024-09-11,2026-04-26,196551.02392857123
99637898,61117453.919999994,3757668800.0,0.0,-132959500.0,89,21968,830,2024-10-04,2026-05-04,686712.9653932584
99807660,16399741.84,1418940550.0,0.0,-15152600.0,23,5560,474,2024-11-29,2026-03-01,713032.2539130434
99841779,21940533.950000018,676696700.0,2000000.0,6364600.0,27,3099,434,2024-09-07,2025-08-09,812612.3685185192
25737077,40386329.02999997,2958245200.0,300000.0,-1268500.0,122,17027,2451,2024-11-08,2026-05-05,331035.48385245877
25744603,2743862.48,167580100.0,0.0,-4285200.0,11,3535,163,2024-11-24,2026-05-01,249442.04363636364
26882688,7537813.750000003,564181600.0,0.0,-19050750.0,9,4631,334,2025-01-30,2025-10-04,837534.8611111115
26882689,5193751.139999999,176719650.0,0.0,-1288200.0,19,6054,301,2025-01-30,2026-03-27,273355.32315789466
28800069,11498221.3,264728000.0,0.0,12054950.0,31,4617,138,2024-11-12,2026-04-07,370910.3645161291
44444444,7421794.570000005,435215350.0,0.0,-15767200.0,79,14667,691,2025-03-03,2026-04-25,93946.76670886083
89000343,12024469.439999998,877536700.0,0.0,-3489650.0,98,15005,1184,2024-07-25,2025-09-19,122698.66775510201
91116552,20730212.87999997,1274792600.0,0.0,-19697150.0,112,12447,1642,2024-09-30,2025-10-22,185091.18642857115
91122170,31855538.879999988,2299719100.0,0.0,25148450.0,23,7078,375,2025-01-29,2026-04-17,1385023.4295652169
1855779,3749314.759999999,132818800.0,100000.0,-1811850.0,27,7207,434,2025-02-21,2026-04-29,138863.50962962958
20429876,167947809.57999992,14309206250.0,0.0,-370229600.0,56,21511,1724,2025-03-26,2025-12-22,2999068.028214284
20524523,6553321.510000002,404561750.0,0.0,-14069850.0,22,3445,264,2025-04-30,2026-01-11,297878.25045454554
20536493,25919879.899999995,2226565800.0,0.0,-17149375.0,45,7776,931,2025-04-27,2026-02-18,575997.331111111
20901587,21284366.66,2183308200.0,0.0,-22341250.0,49,7302,348,2024-10-01,2026-05-05,434374.82979591837
20934862,18111416.030000005,1711056000.0,249000.0,-19752150.0,54,8767,477,2025-01-31,2026-01-29,335396.5931481482
20969091,144808963.75000015,6986185750.0,1000000.0,-130235600.0,161,76310,4704,2024-08-29,2026-05-05,899434.5574534171
21025651,79073584.910005,3592952350.0,45262900.0,-80822641.0,200,999818,160163,2024-11-28,2026-05-10,395367.924550025
21325683,37374650.71999997,1543355700.0,290000.0,-22398450.0,67,51483,2104,2024-09-24,2026-05-06,557830.6077611935
21415081,111101392.0200003,4641254200.0,383000.0,-90704920.0,165,147149,6089,2024-12-07,2026-02-20,673341.7698181836
23107013,17370254.66999994,1399386750.0,205000.0,-19974300.0,194,31551,3097,2024-07-18,2026-05-11,89537.39520618525
23238747,54555492.25,1723230650.0,0.0,-43501750.0,27,29104,475,2024-11-30,2025-11-24,2020573.787037037
23281368,10155243.629999984,413084750.0,631000.0,-17358550.0,89,23184,1387,2024-09-20,2026-04-26,114103.86101123577
23431099,40082068.61000008,2723972200.0,0.0,62561450.0,152,8933,3861,2024-10-21,2026-01-01,263697.8198026321
23610108,821253.75,53402500.0,0.0,1302350.0,5,290,50,2025-03-14,2025-03-28,164250.75
23629410,4042185.5000000005,210215750.0,0.0,14396950.0,10,2969,117,2025-01-03,2026-03-14,404218.55000000005
23700268,47663408.83999998,1075761400.0,0.0,-23924950.0,93,30583,1493,2024-08-29,2026-03-10,512509.7724731181
23768179,20219531.08000001,1348271400.0,0.0,4619050.0,67,6401,758,2024-09-27,2026-05-03,301784.0459701494
23925550,72304132.13000001,6329911300.0,0.0,18242600.0,92,12782,1381,2024-11-06,2025-10-10,785914.4796739131
23947290,54050737.52000028,3340966750.0,10000.0,-12749300.0,227,59891,13985,2024-09-21,2026-05-06,238108.97585903207
23988694,33292898.480000004,2599977000.0,0.0,22025500.0,11,3086,169,2025-02-09,2026-05-03,3026627.1345454548
97027098,13737103.219999999,1196660200.0,0.0,-14420550.0,48,4251,308,2025-02-21,2026-02-27,286189.65041666664
97032899,39449254.98000002,3375400750.0,2063000.0,-86907250.0,108,6909,859,2025-01-02,2026-05-06,365270.8794444446
97056303,284253321.6700003,8102130400.0,3361500.0,-283973300.0,94,122213,2917,2024-11-07,2026-05-03,3023971.507127663
97072359,6843924.6,148766800.0,0.0,-16056650.0,33,1218,101,2024-07-17,2024-12-28,207391.65454545454
97079093,25145285.409999996,1592726000.0,0.0,-49754250.0,21,5957,421,2025-03-08,2026-03-22,1197394.5433333332
97099484,18341612.759999998,1102420300.0,0.0,-52667000.0,67,7571,489,2024-10-29,2025-09-05,273755.4143283582
