"bet_id","is_back_bet","base_ha","bet_type","bet_uuid","bonus","casino_loss_from_nn","casino_win","commission","game_id","is_lump_sum_payout","max_wager","payout_complete_dtm","gaming_day","payout_ha","payout_odds","player_id","position_code","position_idx","position_label","session_id","is_settled","status","std_dev","table_id","theo_win","theo_win_cash","true_odds","wager","wager_nn","chips_paid","chips_wagered","chipsvalue_by_chipset","chipset_label","tip_amount","chips_tip","bet_cards","increment_wager","bet_cards_sum","adjusted_theo_win","short_bet_name_en","short_bet_name_zh","mixed_stack","auto_resolve_stack","type_of_bet"
101001,0,0.01,PLAYER,"101001_GAME_1720087244429_PLAYERBET_1720087244486",null,0,-1000,null,101039,0,null,"2024-07-04 19:57:49.000000","2024-07-04",0.02,1,101004,PLAYER_06,6,"6",101001,1,WIN,927.37,101001,12.35,12.35,1.03,1000,0,null,e0054001e17efea9,"{""GM HKD CC"":1000.00}",GM HKD CC,null,null,null,null,null,12.4,P,閒,0,0,MAIN_BET
101002,0,0.01,PLAYER,"101001_GAME_1720087244429_PLAYERBET_1720087244450",null,0,-1000,null,101039,0,null,"2024-07-04 19:57:49.000000","2024-07-04",0.02,1,101005,PLAYER_02,2,"2",101002,1,WIN,927.37,101001,12.35,12.35,1.03,1000,0,null,e005d001c0be3e0f,"{""GM HKD CC"":1000.00}",GM HKD CC,null,null,null,null,null,12.4,P,閒,0,0,MAIN_BET
101003,0,0.01,PLAYER,"101001_GAME_1720094269441_PLAYERBET_1720094269490",null,0,-1000,null,101040,0,null,"2024-07-04 20:04:35.000000","2024-07-04",0.02,1,101004,PLAYER_06,6,"6",101003,1,WIN,927.37,101001,12.35,12.35,1.03,1000,0,null,e0054001e17efea9,"{""GM HKD CC"":1000.00}",GM HKD CC,null,null,null,null,null,12.4,P,閒,0,0,MAIN_BET
101004,0,0.01,PLAYER,"101001_GAME_1720094269441_PLAYERBET_1720094269454",null,0,-1000,null,101040,0,null,"2024-07-04 20:04:35.000000","2024-07-04",0.02,1,101005,PLAYER_02,2,"2",101004,1,WIN,927.37,101001,12.35,12.35,1.03,1000,0,null,e005d001c0be3e0f,"{""GM HKD CC"":1000.00}",GM HKD CC,null,null,null,null,null,12.4,P,閒,0,0,MAIN_BET
101005,0,0.01,PLAYER,"101001_GAME_1720094675379_PLAYERBET_1720094675428",null,0,-1000,null,101041,0,null,"2024-07-04 20:35:42.000000","2024-07-04",0.02,1,101004,PLAYER_06,6,"6",101005,1,WIN,927.37,101001,12.35,12.35,1.03,1000,0,null,e0054001e17efea9,"{""GM HKD CC"":1000.00}",GM HKD CC,null,null,null,null,null,12.4,P,閒,0,0,MAIN_BET
101006,0,0.01,PLAYER,"101001_GAME_1720094675379_PLAYERBET_1720094675392",null,0,-1000,null,101041,0,null,"2024-07-04 20:35:42.000000","2024-07-04",0.02,1,101005,PLAYER_02,2,"2",101006,1,WIN,927.37,101001,12.35,12.35,1.03,1000,0,null,e005d001c0be3e0f,"{""GM HKD CC"":1000.00}",GM HKD CC,null,null,null,null,null,12.4,P,閒,0,0,MAIN_BET
101007,0,0.01,PLAYER,"101001_GAME_1720096542445_PLAYERBET_1720096542494",null,0,1000,null,101042,0,null,"2024-07-04 20:36:57.000000","2024-07-04",0.02,1,101004,PLAYER_06,6,"6",101005,1,LOSE,927.37,101001,12.35,12.35,1.03,1000,0,null,e0054001e17efea9,"{""GM HKD CC"":1000.00}",GM HKD CC,null,null,null,null,null,12.4,P,閒,0,0,MAIN_BET
101008,0,0.01,PLAYER,"101001_GAME_1720096542445_PLAYERBET_1720096584153",null,0,2000,null,101042,0,null,"2024-07-04 20:36:57.000000","2024-07-04",0.02,1,101006,PLAYER_05,5,"5",101007,0,LOSE,1854.74,101001,24.7,24.7,1.03,2000,0,null,"e005d001c0cb49db,e0054001e0fa42a4","{""GM HKD CC"":2000.00}",GM HKD CC,null,null,null,null,null,24.8,P,閒,0,0,MAIN_BET
101009,0,0.01,PLAYER,"101001_GAME_1720096542445_PLAYERBET_1720096542458",null,0,1000,null,101042,0,null,"2024-07-04 20:36:57.000000","2024-07-04",0.02,1,101005,PLAYER_02,2,"2",101006,1,LOSE,927.37,101001,12.35,12.35,1.03,1000,0,null,e005d001c0be3e0f,"{""GM HKD CC"":1000.00}",GM HKD CC,null,null,null,null,null,12.4,P,閒,0,0,MAIN_BET
101010,0,0.01,PLAYER,"101001_GAME_1720096617966_PLAYERBET_1720096618015",null,0,0,null,101043,0,null,"2024-07-04 20:37:09.000000","2024-07-04",0.02,1,101007,PLAYER_06,6,"6",101008,0,PUSH,927.37,101001,12.35,12.35,1.03,1000,0,null,e0054001e17efea9,"{""GM HKD CC"":1000.00}",GM HKD CC,null,null,null,null,null,12.4,P,閒,0,0,MAIN_BET
